theta           phi             x                y                z                Bx               By               Bz
0.00000000E+00  3.51264690E+00  -1.00647943E+01  -3.91597503E+00  +1.67901059E-01  +9.24281248E-02  -2.99165226E-01  -1.61634186E-02
0.00000000E+00  3.56212080E+00  -9.89607902E+00  -4.42558763E+00  +1.51128012E-01  +1.08539608E-01  -2.91246742E-01  -2.17077726E-02
0.00000000E+00  3.61159470E+00  -9.69672111E+00  -4.92562865E+00  +1.24993397E-01  +1.25233131E-01  -2.82236232E-01  -2.64431926E-02
0.00000000E+00  3.66106860E+00  -9.46542589E+00  -5.41295706E+00  +9.10845341E-02  +1.42234988E-01  -2.72175701E-01  -3.01059391E-02
0.00000000E+00  3.71054250E+00  -9.20165966E+00  -5.88435051E+00  +5.15016261E-02  +1.59286459E-01  -2.61200996E-01  -3.24989434E-02
0.00000000E+00  3.76001640E+00  -8.90573834E+00  -6.33671843E+00  +8.71030985E-03  +1.76176012E-01  -2.49498013E-01  -3.35028682E-02
0.00000000E+00  3.80949030E+00  -8.57883712E+00  -6.76731217E+00  -3.46234998E-02  +1.92718899E-01  -2.37236764E-01  -3.30713272E-02
0.00000000E+00  3.85896420E+00  -8.22292385E+00  -7.17391070E+00  -7.58006221E-02  +2.08711353E-01  -2.24548067E-01  -3.12239383E-02
0.00000000E+00  3.90843810E+00  -7.84062600E+00  -7.55496328E+00  -1.12255193E-01  +2.23915726E-01  -2.11560548E-01  -2.80497458E-02
0.00000000E+00  3.95791200E+00  -7.43504460E+00  -7.90967276E+00  -1.41721634E-01  +2.38101698E-01  -1.98452589E-01  -2.37150283E-02
0.00000000E+00  4.00738590E+00  -7.00953222E+00  -8.23800733E+00  -1.62391926E-01  +2.51107640E-01  -1.85460125E-01  -1.84592492E-02
0.00000000E+00  4.05685980E+00  -6.56745880E+00  -8.54063767E+00  -1.73040708E-01  +2.62862102E-01  -1.72827259E-01  -1.25754803E-02
0.00000000E+00  4.10633370E+00  -6.11199356E+00  -8.81880997E+00  -1.73096448E-01  +2.73346354E-01  -1.60739956E-01  -6.39022342E-03
0.00000000E+00  4.15580760E+00  -5.64592890E+00  -9.07417727E+00  -1.62652275E-01  +2.82539939E-01  -1.49290080E-01  -2.56202601E-04
0.00000000E+00  4.20528150E+00  -5.17156131E+00  -9.30861364E+00  -1.42427681E-01  +2.90407851E-01  -1.38481457E-01  +5.44894884E-03
0.00000000E+00  4.25475540E+00  -4.69063020E+00  -9.52402736E+00  -1.13699733E-01  +2.96945503E-01  -1.28254075E-01  +1.03389291E-02
0.00000000E+00  4.30422930E+00  -4.20430751E+00  -9.72217898E+00  -7.82172978E-02  +3.02237234E-01  -1.18496319E-01  +1.40589701E-02
0.00000000E+00  4.35370320E+00  -3.71323105E+00  -9.90450695E+00  -3.81018748E-02  +3.06463584E-01  -1.09035911E-01  +1.63336693E-02
0.00000000E+00  4.40317711E+00  -3.21757864E+00  -1.00719696E+01  +4.26726899E-03  +3.09836015E-01  -9.96257230E-02  +1.69977272E-02
0.00000000E+00  4.45265101E+00  -2.71718056E+00  -1.02249206E+01  +4.63840916E-02  +3.12505045E-01  -8.99497961E-02  +1.60039907E-02
0.00000000E+00  4.50212491E+00  -2.21166368E+00  -1.03630348E+01  +8.57568022E-02  +3.14512966E-01  -7.96627630E-02  +1.34232450E-02
0.00000000E+00  4.55159881E+00  -1.70061353E+00  -1.04852962E+01  +1.20047682E-01  +3.15823758E-01  -6.84520903E-02  +9.44403834E-03
0.00000000E+00  4.60107271E+00  -1.18373754E+00  -1.05900430E+01  +1.47201110E-01  +3.16397691E-01  -5.60926246E-02  +4.36091056E-03
0.00000000E+00  4.65054661E+00  -6.61014009E-01  -1.06750608E+01  +1.65555094E-01  +3.16242779E-01  -4.24651581E-02  -1.46108427E-03
0.00000000E+00  4.70002051E+00  -1.32815872E-01  -1.07377101E+01  +1.73937651E-01  +3.15400655E-01  -2.75394678E-02  -7.63484542E-03
0.00000000E+00  4.74949441E+00  +3.99997747E-01  -1.07750863E+01  +1.71749778E-01  +3.13887431E-01  -1.13514669E-02  -1.37871822E-02
0.00000000E+00  4.79896831E+00  +9.36029923E-01  -1.07842136E+01  +1.59029524E-01  +3.11651503E-01  +5.99869459E-03  -1.95706013E-02
0.00000000E+00  4.84844221E+00  +1.47334371E+00  -1.07622712E+01  +1.36481915E-01  +3.08594039E-01  +2.43332635E-02  -2.46642451E-02
0.00000000E+00  4.89791611E+00  +2.00951724E+00  -1.07068338E+01  +1.05456483E-01  +3.04640516E-01  +4.33997882E-02  -2.87838824E-02
0.00000000E+00  4.94739001E+00  +2.54175671E+00  -1.06160967E+01  +6.78641652E-02  +2.99802435E-01  +6.29094726E-02  -3.17034871E-02
0.00000000E+00  4.99686391E+00  +3.06705717E+00  -1.04890526E+01  +2.60437595E-02  +2.94174053E-01  +8.25889004E-02  -3.32724748E-02
0.00000000E+00  5.04633781E+00  +3.58239335E+00  -1.03255969E+01  -1.73988140E-02  +2.87870360E-01  +1.02200747E-01  -3.34164071E-02
